index	hash	title	smName	artist	version	levels	displayBpm	abcSort	dAudioUrl	useSsc	missingDifficulties	isLineout
45	Q9Q088PPd0bPi9QQ8iil1lQqPdiQP69D	恋する☆宇宙戦争っ!!	Koisuru uchuu sensou!!	Prim	15	4,7,12,14,17,8,13,15,17	200	か	g3v658l3p660d1g/Koisuru%20uchuu%20sensou%21%21.mp3				
46	i9il1DIDl91Db0OdllOddIqO600Pl89q	恋のパズルマジック	Koi no puzzle magic	ときめきアイドル project Rhythmixxx	15	3,6,9,11,,6,9,11,	140	か	7w75slxhu9lopg2/Koi%20no%20puzzle%20magic.mp3				
47	qilOP8l6bDPi98lqDbO6O1obOi068QOQ	恋はどう？モロ◎波動OK☆方程式！！	Koi hadou Moro Hadou OK Houteishiki!!	あべにゅうぷろじぇくと feat.佐倉紗織 produced by ave\	14	4,7,11,14,,6,11,14,	128-256	か	xn3jm1tiqmrtgjx/Koi%20hadou%20Moro%20Hadou%20OK%20Houteishiki%21%21.mp3				
48	bo9l0Dl0PbqQQQ16Qq6bOOi68o0996Pq	紅焔	Kouen	PON	12	3,6,9,12,15,6,9,12,15	175	か	vtg98fm8fjqmx6d/Kouen.mp3				
49	qbbPQoqqqiPd98d61P0qDd0iDId6OqoQ	この青空の下で	Kono aozora no shita de	TAG meets “eimy”	15	3,6,9,11,,6,9,11,	165	か	9k19bhs5q9ajen8/Kono%20aozora%20no%20shita%20de.mp3				
50	9idOOIdDO01D8PO06bOPPbOIOoiQ8O0P	この子の七つのお祝いに	Konoko no nanatsu no oiwaini	あさき	8	3,7,10,14,,7,10,14,	161	か	7g8fio9noky3qea/Konoko%20no%20nanatsu%20no%20oiwaini.mp3				
51	i0P1O6lbP1oDd6q6b08iPPoq6iPdI818	最終鬼畜妹フランドール・Ｓ	Saishuu kichiku imouto Flandre-S	ビートまりお(COOL&CREATE)	16	4,9,13,16,,9,13,16,	200	さ	70gk2hplyb74oa0/Saishuu%20kichiku%20imouto%20Flandre-S.mp3				
52	O9qDQOQO8dDDIiO9dPP0Pb8qQo9l89D9	最小三倍完全数	Saishou sanbai kanzensuu	DJ TECHNORCH	16	5,11,14,17,,11,15,17,	55-440	さ	6vaaplad2bwvxk4/Saishou%20sanbai%20kanzensuu.mp3				
53	llo89P08I1PlID9DO8lqdbbq69O8Qiib	逆さま♥シンデレラパレード	Sakasama Cinderella parade	メリー・バッド・メルヘン	17	2,7,10,13,,6,10,13,	135	さ	8hsjqucqzg8h18b/Sakasama%20Cinderella%20parade.mp3				
54	911lId0IooIOq1oDPoQ0iQiDiOIbd6oo	桜	SAKURA	RevenG	7	5,7,11,13,11,7,11,13,11	20-320	さ	gu5retyl05vimpo/SAKURA.mp3				
55	doIiQl6oDPP6i9qobqoobblPQqPiI9bD	サナ・モレッテ・ネ・エンテ	SANA MOLLETE NE ENTE	Togo Project feat. Sana	4	3,4,9,12,,5,9,12,	90	さ	zki0fsiemhjypaf/SANA%20MOLLETE%20NE%20ENTE.mp3				
56	1P9bqO00bIQ0q8d1Q80l0Dq8oi6boqb0	さよならトリップ ～夏陽 EDM edition～	Sayonara trip ~Natsuhi EDM edition~	東雲夏陽(from ここなつ)	15	3,4,9,12,,4,9,11,	135	さ	gcpukyb7drrr8ul/Sayonara%20trip%20~Natsuhi%20EDM%20edition~.mp3				
